user_id,user_name,gender,birthday,last_login_datetime,registration_datetime,default_delivery_address_state,default_delivery_address_city
10038,joycearnold,,1985-01-04,2025-09-27 00:00:00 UTC,2025-04-19 00:00:00 UTC,Alabama,North Sierraberg
10269,timothybooth,,1980-08-27,2026-01-31 00:00:00 UTC,2025-03-27 00:00:00 UTC,Alabama,East Suzanne
10355,joycesmith,,2004-11-01,2025-06-23 00:00:00 UTC,2025-02-28 00:00:00 UTC,Alabama,North Thomas
10436,crystal25,,1994-07-11,2025-06-12 00:00:00 UTC,2025-04-27 00:00:00 UTC,Alabama,Hillburgh
10493,jacksonstephanie,,1990-01-31,2026-03-30 00:00:00 UTC,2026-03-29 00:00:00 UTC,Alabama,East Ellenborough
10528,olsondavid,,1993-02-04,2025-04-01 00:00:00 UTC,2025-02-28 00:00:00 UTC,Alabama,Boydstad
10531,ascott,,1997-12-16,2025-10-15 00:00:00 UTC,2025-08-20 00:00:00 UTC,Alabama,New Adrianborough
10859,rubiogeorge,,1991-06-07,2025-12-07 00:00:00 UTC,2025-10-19 00:00:00 UTC,Alabama,Ayalamouth
10890,monica16,,1989-12-02,2026-01-10 00:00:00 UTC,2025-01-17 00:00:00 UTC,Alabama,Wilsonburgh
10977,francis70,,1988-02-25,2026-03-29 00:00:00 UTC,2026-03-01 00:00:00 UTC,Alabama,Lake Jerry
11082,jefferygoodman,,1999-03-01,2026-03-16 00:00:00 UTC,2025-11-13 00:00:00 UTC,Alabama,Jessicashire
11142,rmorales,,1974-11-09,2025-08-17 00:00:00 UTC,2025-07-01 00:00:00 UTC,Alabama,New Jeffery
11189,ashleygamble,,1969-10-26,2026-03-30 00:00:00 UTC,2025-10-16 00:00:00 UTC,Alabama,Port Monica
11267,jacksonmartin,,1986-04-12,2026-03-29 00:00:00 UTC,2026-02-20 00:00:00 UTC,Alabama,Pattersontown
11337,preese,,1971-05-28,2026-03-11 00:00:00 UTC,2025-05-08 00:00:00 UTC,Alabama,Laurenview
11387,martin38,,1999-01-26,2026-01-12 00:00:00 UTC,2025-04-27 00:00:00 UTC,Alabama,Port Andrewhaven
11427,haleyortiz,,1994-07-24,2026-02-04 00:00:00 UTC,2025-12-25 00:00:00 UTC,Alabama,Joshuastad
11655,lowekristin,,1969-04-13,2025-12-23 00:00:00 UTC,2025-09-19 00:00:00 UTC,Alabama,West Melissamouth
11727,jimenezmaria,,1984-04-23,2026-03-27 00:00:00 UTC,2026-03-25 00:00:00 UTC,Alabama,Lake Bryanview
12158,amanda86,,2011-01-12,2026-02-20 00:00:00 UTC,2025-12-24 00:00:00 UTC,Alabama,North Thomashaven
12245,mark32,,1994-06-14,2026-03-25 00:00:00 UTC,2026-01-02 00:00:00 UTC,Alabama,South Jasonfurt
12392,alexander70,,2002-05-05,2026-03-29 00:00:00 UTC,2025-12-01 00:00:00 UTC,Alabama,Christinafurt
12436,elizabethrobertson,,1983-06-26,2026-03-10 00:00:00 UTC,2025-09-05 00:00:00 UTC,Alabama,Tammieville
12529,isaiahthomas,,1995-02-22,2025-12-20 00:00:00 UTC,2025-10-30 00:00:00 UTC,Alabama,West Herbert
12557,xcarlson,,1978-08-19,2025-07-26 00:00:00 UTC,2025-01-29 00:00:00 UTC,Alabama,South Donald
12640,kimberly63,,2007-06-20,2026-02-04 00:00:00 UTC,2025-01-12 00:00:00 UTC,Alabama,New Antonio
12678,briannaking,,1973-08-18,2025-10-30 00:00:00 UTC,2025-10-12 00:00:00 UTC,Alabama,Port Sonyaburgh
12728,rachelvaldez,,1969-08-16,2026-03-18 00:00:00 UTC,2026-02-08 00:00:00 UTC,Alabama,South Kim
12945,kendra49,,1985-09-14,2026-03-20 00:00:00 UTC,2026-02-09 00:00:00 UTC,Alabama,West Brandy
13110,vanessajimenez,,1971-04-02,2025-12-12 00:00:00 UTC,2025-02-19 00:00:00 UTC,Alabama,Port Austinberg
13195,cummingsdana,,1975-07-25,2025-07-24 00:00:00 UTC,2025-06-05 00:00:00 UTC,Alabama,New Annette
13495,yduncan,,1965-12-04,2026-03-11 00:00:00 UTC,2026-01-14 00:00:00 UTC,Alabama,New Josephbury
13519,patricia63,,1979-11-15,2026-03-27 00:00:00 UTC,2026-03-13 00:00:00 UTC,Alabama,South Ryanland
13650,katie11,,2011-03-19,2025-08-31 00:00:00 UTC,2025-03-18 00:00:00 UTC,Alabama,Tammyshire
13681,taralewis,,1980-08-24,2025-02-12 00:00:00 UTC,2025-01-14 00:00:00 UTC,Alabama,Jimenezside
